Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Myotis lucifugus|little brown bat|12|Alabama,Alaska,California,Connecticut,Indiana,Kansas,Mississippi,Nevada,Ohio,Rhode Island,Vermont,Wyoming|37|Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming|Mammals
Myotis septentrionalis|northern myotis|21|Alabama,Connecticut,Delaware,Indiana,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Wisconsin,Wyoming|36|Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin,Wyoming|Mammals
Perimyotis subflavus|Eastern pipistrelle|10|Connecticut,Florida,Indiana,Michigan,Minnesota,Nebraska,New Hampshire,Ohio,Rhode Island,Vermont|30|Alabama,Connecticut,Delaware,District of Columbia,Florida,Georgia,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin|Mammals
Lasionycteris noctivagans|silver-haired bat|23|Alaska,California,Connecticut,Delaware,Indiana,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming|29|Alaska,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Vermont,Virginia,Washington,West Virginia,Wisconsin|Mammals
Myotis leibii|small-footed myotis|22|Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Kentucky,Maine,Maryland,Massachusetts,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia|25|Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Kentucky,Maine,Maryland,Massachusetts,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia|Mammals
Lasiurus cinereus|hoary bat|22|California,Connecticut,Delaware,Florida,Indiana,Maryland,Massachusetts,Michigan,Mississippi,Montana,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming|23|Colorado,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Rhode Island,South Carolina,Vermont,Virginia,Washington,West Virginia|Mammals
Myotis sodalis|Indiana Myotis|25|Alabama,Arkansas,Connecticut,Georgia,Illinois,Indiana,Iowa,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Vermont,Virginia,West Virginia|23|Alabama,Arkansas,Connecticut,Georgia,Illinois,Indiana,Iowa,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Tennessee,Vermont,Virginia,West Virginia|Mammals
Eptesicus fuscus|big brown bat|7|Alaska,Florida,Louisiana,Ohio,Puerto Rico,Vermont,Wyoming|21|Connecticut,Delaware,District of Columbia,Florida,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,North Dakota,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Wisconsin,Wyoming|Mammals
Megaptera novaeangliae|Humpback Whale|13|Alaska,American Samoa,Delaware,Guam,Hawaii,Maine,Maryland,Massachusetts,New Jersey,New York,Puerto Rico,Rhode Island,South Carolina|20|Alaska,American Samoa,California,Delaware,Georgia,Guam,Hawaii,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Texas,Virginia,Washington|Mammals
Spilogale putorius|Eastern Spotted Skunk|20|Alabama,Arkansas,Florida,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Carolina,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia|19|Alabama,Arkansas,Florida,Georgia,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia|Mammals
